[2026-09-18T09:07:52.987+00:00] PID:2441509 CPU:0.00% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:53.489+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:53.490+00:00] PID:2441509 CPU:0.00% RSS_KIB:299648 MEM:1.88435% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:53.992+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:53.992+00:00] PID:2441509 CPU:3.98% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:54.494+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:54.494+00:00] PID:2441509 CPU:0.00% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:54.996+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:54.997+00:00] PID:2441509 CPU:1.99% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:55.499+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:55.499+00:00] PID:2441509 CPU:0.00% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:56.003+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:56.004+00:00] PID:2441509 CPU:0.00% RSS_KIB:325248 MEM:2.04534% STATE:S THREADS:3 WCHAN:futex_wait_queue
