[2026-09-18T09:17:53.009+00:00] PID:2451259 CPU:3.98% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:53.512+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:53.512+00:00] PID:2451259 CPU:0.00% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:54.014+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:54.015+00:00] PID:2451259 CPU:3.98% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:54.517+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:54.517+00:00] PID:2451259 CPU:0.00% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:55.019+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:55.020+00:00] PID:2451259 CPU:0.00% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:55.522+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:55.523+00:00] PID:2451259 CPU:0.00% RSS_KIB:350848 MEM:2.20633% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:56.024+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:56.025+00:00] PID:2451259 CPU:3.98% RSS_KIB:376448 MEM:2.36731% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:56.527+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:56.527+00:00] PID:2451259 CPU:0.00% RSS_KIB:376448 MEM:2.36731% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:57.029+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:57.030+00:00] PID:2451259 CPU:0.00% RSS_KIB:376448 MEM:2.36731% STATE:S THREADS:3 WCHAN:futex_wait_queue
